MUSEUM,CATALOGUE,TL,WC,TLE,AMBN,BD,BL,DN,BW,SEX,LOCALITY,STATE/DEPARMENT,MUNICIPIO,COUNTRY,LATITUDE N,LONGITUDE W,COLLECTOR,COLLECTIO DATE,LINEAGE,ALTITUDE
MLZ,26654,12.917,50.707,23,2.573,4.53,6.33,1.637,6.277,M,Cofradía,Cortés,,Honduras,14.2333341,-88.2166634,C.F. Underwood,08/03/33,affinis,
MLZ,26656,12.77,50.873,25.833,2.66,4.75,6.74,1.68,6.093,F,Cofradía,Cortés,,Honduras,14.2333341,-88.2166634,C.F. Underwood,06/03/33,affinis,
MLZ,67037,12.983,49,30,2.72,4.21,6.2,1.75,6.06,M,Cofradía,Cortés,,Honduras,14.2333341,-88.2166634,C.F. Underwood,11/03/29,affinis,
AMNH,328449,12.717,51.653,25.167,2.81,5.037,6.665,3.41,4.527,F,Cofradía,Cortés,,Honduras,,,C. F. Underwood,12/03/33,affinis,
AMNH,328446,12.903,51.107,26.833,2.383,4.01,6.105,3.1,4.5,M,Cofradía,Cortés,,Honduras,,,C. F. Underwood,09/03/33,affinis,
AMNH,328447,12.893,50.65,27.833,2.607,4.583,6.78,3.3,4.463,M,Cofradía,Cortés,,Honduras,,,C. F. Underwood,09/03/33,affinis,
AMNH,328448,11.687,51.24,24.833,2.593,4.16,6.71,3.3,4.337,M,Cofradía,Cortés,,Honduras,,,C. F. Underwood,11/03/33,affinis,
LSUMH,30267,11.79,50.373,28.833,2.597,4.433,6.463,2.247,5.743,M,"Amapa, 3 mi al N de Río Lindo",Cortés,,Honduras,15.0333,-87.9833,,,affinis,
LSUMH,31570,12.69,54.377,26.167,2.843,4.62,7.35,2.35,5.847,M,Finca Fe 1 mi al NW del Jaral,Cortés,,Honduras,14.947539,-88.036734,,,affinis,
MLZ,26655,13.477,53.44,25,2.693,4.277,6.587,1.413,5.97,F,San  Lorenzo ,Departamento Valle,,Honduras,13.4258981,-87.4472198,C.F. Underwood,27/09/32,affinis,
